ID Part,Nama Part,Customer,Stok Terkini (pcs),Std Stock (3HK),Material,Proses,Minimal Produksi
DV57484-BZ050,"XP-0081=BRACKET, FR SEAT, OUTSIDE UPR LH",IPPI,"[0, 0, 0, 2073]",1000,SPC440 T. 1.00 X 277 X 1219,"[{""process_name"": ""Blank"", ""tonnage_std"": 150, ""tonnage_alternatives"": [110, 160]}, {""process_name"": ""Bending 1"", ""tonnage_std"": 110, ""tonnage_alternatives"": [150, 75]}, {""process_name"": ""Bending 2"", ""tonnage_std"": 75, ""tonnage_alternatives"": [110, 150]}, {""process_name"": ""Piercing"", ""tonnage_std"": 75, ""tonnage_alternatives"": [110, 150]}]",1000
DV57491-BZ060,"XP-0083=RTR, FLR MEMBER REINFORCEMENT",IPPI,"[0, 2682]",1800,SPC440 T. 1.60 X 45 X 610,"[{""process_name"": ""Blank"", ""tonnage_std"": 75, ""tonnage_alternatives"": [110, 150]}, {""process_name"": ""Bending"", ""tonnage_std"": 75, ""tonnage_alternatives"": [110, 150, 55]}]",1600
DV58169-BZ060,"XP-0084=PATCH, FR FLOOR,RR",IPPI,"[0, 0, 0, 1989]",1000,SCGA270C-45 T. 1.40 X 384 X 1219,"[{""process_name"": ""Blank"", ""tonnage_std"": 200, ""tonnage_alternatives"": []}, {""process_name"": ""Bending 1"", ""tonnage_std"": 350, ""tonnage_alternatives"": []}, {""process_name"": ""Bending 2"", ""tonnage_std"": 350, ""tonnage_alternatives"": [160]}, {""process_name"": ""Piercing"", ""tonnage_std"": 150, ""tonnage_alternatives"": [110, 160]}]",1400
DV61513-BZ150,"XP-0117=REINFORCE,RR DR LOCK STRIKER,RH",IPPI,"[0, 0, 0, 3256]",1000,SPC270C T. 0.70 X 147 X 1219,"[{""process_name"": ""Blank"", ""tonnage_std"": 150, ""tonnage_alternatives"": [110, 160]}, {""process_name"": ""Forming"", ""tonnage_std"": 110, ""tonnage_alternatives"": [150, 75]}, {""process_name"": ""Bending"", ""tonnage_std"": 75, ""tonnage_alternatives"": [110, 150]}, {""process_name"": ""Piercing"", ""tonnage_std"": 75, ""tonnage_alternatives"": [110, 150]}]",1200
DV61514-BZ150,"XP-0118=REINFORCE,RR DR LOCK STRIKER,LH",IPPI,"[0, 0, 0, 3556]",1000,SPC270C T. 0.70 X 147 X 1219,"[{""process_name"": ""Blank"", ""tonnage_std"": 150, ""tonnage_alternatives"": [110, 160]}, {""process_name"": ""Forming"", ""tonnage_std"": 110, ""tonnage_alternatives"": [150, 75]}, {""process_name"": ""Bending"", ""tonnage_std"": 75, ""tonnage_alternatives"": [110, 150]}, {""process_name"": ""Piercing"", ""tonnage_std"": 75, ""tonnage_alternatives"": [110, 150]}]",1200
IB-005,IB-005=BRACKET ROOF LINING,IPPI,[0],600,JSC270C 0.8 X 133 X 1480 ,"[{""process_name"": ""Blank"", ""tonnage_std"": 75, ""tonnage_alternatives"": [110, 150]}, {""process_name"": ""Bend, Pier"", ""tonnage_std"": 110, ""tonnage_alternatives"": [150]}]",1200
IB-013,"IB-013=BRACKET FRT PNL, LWR",IPPI,[0],600,JAC270C-45/45 T. 1.2 X 310 X 1290,"[{""process_name"": ""Blank"", ""tonnage_std"": 110, ""tonnage_alternatives"": [150, 75]}, {""process_name"": ""Forming"", ""tonnage_std"": 150, ""tonnage_alternatives"": [110, 75]}, {""process_name"": ""Piercing"", ""tonnage_std"": 150, ""tonnage_alternatives"": [110, 75]}]",1200
IB-017,IB-017=REINFORMENT WIPER PIVTCTR,IPPI,"[0, 0, 1310]",600,SPHC-PO T.2.0 X 175 X 1400,"[{""process_name"": ""Blank"", ""tonnage_std"": 150, ""tonnage_alternatives"": [110, 75]}, {""process_name"": ""Forming"", ""tonnage_std"": 110, ""tonnage_alternatives"": [150, 75]}, {""process_name"": ""Piercing"", ""tonnage_std"": 150, ""tonnage_alternatives"": [110, 75]}]",1200
IB-018,IB-018=REINFORMENT WIPER PIVTSIDE,IPPI,"[0, 0, 2023]",600,SPHC-PO T.2.0 X 175 X 1400,"[{""process_name"": ""Blank"", ""tonnage_std"": 150, ""tonnage_alternatives"": [110, 75]}, {""process_name"": ""Forming"", ""tonnage_std"": 110, ""tonnage_alternatives"": [150, 75]}, {""process_name"": ""Piercing"", ""tonnage_std"": 150, ""tonnage_alternatives"": [110, 75]}]",1200
PH-057,PH-057 = BHRACKET RADIATOR,IPPI,[0],10,SPHC-PC T. 3.2 X 70 X 660 ,,
IF-016,IF-016 = BRKT HORN ,IPPI,[0],10,SS400 T. 3.2 X 120 X 646,,
P11938,TOWER KL-98,NSB,310,1000,GALVANIZED T. 1.2 X 150 X 13,,
P11938,BASE KL-98,NSB,,,ZACS T. 0.6 X 45 X 700,,
P11938,KL98 FIXING CLIPS KL 98 OPTIMA,NSB,310,,,,
